site,year,site.depth.m,surface.bottom,log.depth.m,latitude,longitude
"Shippagan, N.B.",2011,18,B,17,47.88728,-64.76322
"Shippagan, N.B.",2013,18,S,2,47.88728,-64.76322
"Shippagan, N.B.",2013,18,B,17,47.88728,-64.76322
"Shippagan, N.B.",2010,18,S,2,47.88728,-64.76322
"Shippagan, N.B.",2010,18,B,17,47.88728,-64.76322
"Shippagan, N.B.",2012,18,B,17,47.88728,-64.76322
"Skinners Pond, P.E.I.",2011,7,B,7,46.94179,-64.18749
"Skinners Pond, P.E.I.",2010,7,B,7,46.94164,-64.187
"Souris, P.E.I.",2011,21,B,20,46.32947,-62.25658
"Souris, P.E.I.",2013,21,B,20,46.32947,-62.25658
"Souris, P.E.I.",2010,21,B,20,46.32947,-62.25658
"Souris, P.E.I.",2012,21,B,20,46.32947,-62.25658
"St Peters, P.E.I.",2011,15,B,14,46.45256,-62.73933
Strait Crossing,2011,15,B,14,46.28342,-63.87103
Strait Crossing 1,2013,15,B,14,46.28342,-63.87103
Strait Crossing 1,2010,15,B,14,46.28342,-63.87103
Strait Crossing 1,2012,15,B,14,46.28342,-63.87103
Strait Crossing 2,2013,20,B,19,46.15672,-63.66436
Strait Crossing 2,2012,20,B,19,46.15672,-63.66436
Strait Crossing 2,2010,20,B,19,46.15672,-63.66436
"Tabusintac, N.B.",2013,6,B,5,47.28944,-64.92028
"Tabusintac, N.B.",2011,6,B,5,47.28944,-64.92028
"Tabusintac, N.B.",2010,6,B,5,47.28944,-64.92028
"Victoria, P.E.I.",2013,7,B,6,46.17644,-63.46686
"West Point, P.E.I.",2011,24,B,23,46.66833,-64.50028
"West Point, P.E.I.",2010,24,B,23,46.66833,-64.50028
"West Point, P.E.I.",2013,24,B,23,46.66833,-64.50028
"Wood Island 1, P.E.I.",2011,9,B,9,45.93713333,-62.76626667
"Wood Island 1, P.E.I.",2010,9,B,9,45.93713333,-62.76626667
"Wood Island 2, P.E.I.",2011,18,B,18,45.93693333,-62.72051667
"Wood Island 2, P.E.I.",2010,18,B,18,45.93693333,-62.72051667
"Alberton, P.E.I.",2016,9,B,9,46.73682,-63.96861111
"Anse Bleue 1, N.B.",2016,25,B,12,47.85065,-65.07125
"Alberton, P.E.I.",2018,9,B,9,46.7368,-63.971
"Anse Bleue 1, N.B.",2018,25,B,12,47.85065,-65.07125
"Anse Bleue 3, N.B.",2016,25,B,24,47.85065,-65.07125
"Arisaig, N.S.",2016,12,B,11,45.75269,-62.19537
"Cape George, N.S.",2016,17,B,16,45.87619,-61.88717
"Cape Tormentine, N.B.",2016,15,B,14,46.10944444,-63.68444444
"Caribou, N.S.",2016,10,B,9,45.77464,-62.67353
"Cascumpeque, P.E.I.",2016,12,B,11,46.79563,-63.99395
"Cheticamp 2, N.S.",2016,10,B,9,46.66681,-60.98128
"Cheticamp 3, N.S.",2016,19,B,18,46.66645,-61.00135
"Cheticamp 4, N.S.",2016,41,B,40,46.6894,-61.0127
"Cheticamp 1, N.S.",2016,18,B,17,46.60694444,-61.06027778
"Covehead 1, P.E.I.",2016,7,B,7,46.44194444,-63.15722222
"Egmont Bay, P.E.I.",2016,8,B,8,46.4562,-64.13182
"Escuminac, N.B.",2016,11,S,2,47.11917,-64.785
"Fortune 1, P.E.I.",2016,9,B,9,46.3,-62.33722222
"Fortune 2, P.E.I.",2016,21,B,21,46.30055556,-62.30694444
"Indian Rocks, P.E.I.",2016,20,B,19,45.91507,-62.8199
"Jack Shoal, N.S.",2016,17,B,16,45.72256,-61.54981
"Judique Shoals, N.S.",2016,14,B,13,45.83786,-61.55272
"Mabou Harbour, N.S.",2016,13,B,12,46.09141,-61.49111
"Malpeque, P.E.I.",2016,17,B,16,46.58339,-63.61881
"Malpeque, P.E.I.",2016,17,S,2,46.58339,-63.61881
"Margaree, N.S.",2016,16,B,15,46.45389,-61.12056
"Miminegash, P.E.I.",2016,10,B,9,46.90083,-64.23889
"Miscou, N.B.",2016,15,B,14,48.03061,-64.54602
"Murray Harbour, P.E.I.",2016,8,B,8,46.05666667,-62.45633
"Nine Mile Creek, P.E.I.",2016,8,B,8,46.10353,-63.22673
"North Cape, P.E.I.",2016,18,B,17,47.08333,-64.00083
"North Tracadie, N.B.",2016,8,B,7,47.50333,-64.84833
"North Tracadie, P.E.I.",2016,12,B,11,46.43422,-63.03378
"Anse Bleue 3, N.B.",2017,25,B,24,47.85065,-65.07125
"Pleasant Bay 2, N.S.",2016,27,B,26,46.84169,-60.80489
"Pleasant Bay 2, N.S.",2016,27,S,2,46.84169,-60.80489
"Pointe Sapin, N.B.",2016,10,B,9,46.97333,-64.74389
"Prim Reef, P.E.I.",2016,14,B,13,46.0445,-63.11324
"Pugwash, N.S.",2016,13,B,12,45.91576,-63.59732
"Richibucto, N.B.",2016,11,B,10,46.72506,-64.74103
"Rustico, P.E.I.",2016,11,B,10,46.465,-63.275
"Shediac, N.B.",2016,6,B,5,46.28167,-64.50153
"Shippagan, N.B.",2016,18,B,17,47.88728,-64.76322
"Shippagan, N.B.",2016,18,S,2,47.88728,-64.76322
"Skinners Pond, P.E.I.",2016,7,B,7,46.94236,-64.1868
"Souris, P.E.I.",2016,21,B,20,46.32947,-62.25658
Strait Crossing 1,2016,15,B,14,46.28342,-63.87103
"Victoria, P.E.I.",2016,7,B,6,46.17644,-63.46686
"Wallace 1, N.S.",2016,15,B,14,45.82533,-63.288
"West Point, P.E.I.",2016,24,B,23,46.66833,-64.50028
"Covehead 2, P.E.I.",2017,13,B,12,46.44839167,-63.13851389
"Jack Shoal, N.S.",2017,17,B,16,45.72256,-61.54981
"East Point Reef, P.E.I.",2017,22,B,21,46.46784444,-61.93737778
"Escuminac, N.B.",2017,11,B,10,47.11917,-64.785
"Escuminac, N.B.",2017,11,S,2,47.11917,-64.785
"Le Goulet, N.B.",2017,9,B,8,47.70111,-64.65139
"Mabou Harbour, N.S.",2017,13,B,12,46.09141,-61.49111
"Malpeque, P.E.I.",2017,17,B,16,46.58339,-63.61881
"Malpeque, P.E.I.",2017,17,S,2,46.58339,-63.61881
"Miscou, N.B.",2017,15,B,14,48.03061,-64.54602
"North Cape, P.E.I.",2017,18,B,17,47.08333,-64.00083
"North Tracadie, P.E.I.",2017,12,B,11,46.43422,-63.03378
"Pleasant Bay 2, N.S.",2017,27,S,2,46.84169,-60.80489
"Pointe Sapin, N.B.",2017,10,B,9,46.97333,-64.74389
"Prim Reef, P.E.I.",2017,14,B,13,46.0445,-63.11324
"Richibucto, N.B.",2017,11,B,10,46.72506,-64.74103
"Rustico, P.E.I.",2017,11,B,10,46.465,-63.275
"Shediac, N.B.",2017,6,B,5,46.28167,-64.50153
"Shippagan, N.B.",2017,18,S,2,47.88728,-64.76322
"Shippagan, N.B.",2017,18,B,17,47.88728,-64.76322
"Souris, P.E.I.",2017,21,B,20,46.32947,-62.25658
Strait Crossing 2,2017,20,B,19,46.15672,-63.66436
Strait Crossing 1,2017,15,B,14,46.28342,-63.87103
"Tabusintac, N.B.",2017,6,B,5,47.28944,-64.92028
"West Point, P.E.I.",2017,24,B,23,46.66833,-64.50028
"Cape George, N.S.",2017,17,B,16,45.87619,-61.88717
"Cape Tormentine, N.B.",2017,15,B,14,46.10944444,-63.68444444
"Caribou, N.S.",2017,10,B,9,45.77464,-62.67353
"Cascumpeque, P.E.I.",2017,12,B,11,46.79563,-63.99395
"Covehead 1, P.E.I.",2017,7,B,7,46.44194444,-63.15722222
"Fortune 1, P.E.I.",2017,9,B,9,46.3,-62.33722222
"Fortune 2, P.E.I.",2017,21,B,21,46.30055556,-62.30694444
"Nine Mile Creek, P.E.I.",2017,8,B,8,46.10353,-63.22673
"Skinners Pond, P.E.I.",2017,7,B,7,46.94236,-64.1868
"Wallace 2, N.S.",2017,9,B,9,45.88166667,-63.44416667
"Alberton, P.E.I.",2017,9,B,9,46.73682,-63.96861111
"Murray Harbour, P.E.I.",2017,8,B,8,46.05421,-62.45527778
"Judique Shoals, N.S.",2017,14,B,13,45.83786,-61.55272
"Miminegash, P.E.I.",2017,10,B,9,46.90083,-64.23889
"St Peters, P.E.I.",2017,15,B,14,46.45256,-62.73933
"Arisaig, N.S.",2017,12,B,11,45.75818,-62.2
"Aulds Cove, N.S.",2017,20,B,19,45.70361111,-61.4775
"Bayfield, N.S.",2017,20,B,19,45.67241,-61.77555556
"Cheticamp 1, N.S.",2017,18,B,17,46.6125,-61.06555556
"Margaree, N.S.",2017,18,B,17,46.45805556,-61.11388889
"Pleasant Bay 1, N.S.",2017,20,B,19,46.92583333,-60.70555556
"Port Hood, N.S.",2017,20,B,19,45.975,-61.54611111
"Pugwash, N.S.",2017,13,B,12,45.91809,-63.59527778
"River John, N.S.",2017,20,B,19,45.86905,-63.09251
"Wallace 1, N.S.",2017,20,B,19,45.83388889,-63.29055556
"Egmont Bay, P.E.I.",2017,8,B,8,46.4562,-64.13182
"Ballantynes, N.S.",2017,20,B,19,45.89611111,-61.93472222
"Victoria, P.E.I.",2017,7,B,6,46.17644,-63.46686
"Anse Bleue 2, N.B.",2018,25,B,18,47.85065,-65.07125
"Anse Bleue 2, N.B.",2016,25,B,18,47.85065,-65.07125
"Anse Bleue 3, N.B.",2018,25,B,25,47.85065,-65.07125
"Arisaig, N.S.",2018,12,B,11,45.7581,-62.1992
"Aulds Cove, N.S.",2018,20,B,19,45.70361111,-61.4775
"Bayfield, N.S.",2018,20,B,19,45.67305556,-61.79055556
"Murray Harbour, P.E.I.",2018,8,B,8,46.05444444,-62.45527778
"Cape Tormentine, N.B.",2018,15,B,14,46.10944444,-63.68444444
"Caribou, N.S.",2018,10,B,9,45.77464,-62.67353
"Cascumpeque, P.E.I.",2018,12,B,11,46.79563,-63.99395
"Cheticamp, N.S.",2018,18,B,17,46.6131,-61.0658
"Covehead 1, P.E.I.",2018,7,B,7,46.4408,-63.15933
"Covehead 2, P.E.I.",2018,13,B,12,46.4484,-63.1385
"East Point Reef, P.E.I.",2018,22,B,21,46.47333,-61.94889
"Egmont Bay, P.E.I.",2018,8,B,8,46.4562,-64.13182
"Escuminac, N.B.",2018,11,S,2,47.1192,-64.785
"Escuminac, N.B.",2018,11,B,10,47.1192,-64.785
"Fortune 2, P.E.I.",2018,21,B,21,46.30228,-62.30926
"Fortune 1, P.E.I.",2018,9,B,9,46.30181,-62.33591
"Indian Rocks, P.E.I.",2018,20,B,19,45.91507,-62.8199
"Jack Shoal, N.S.",2018,17,B,16,45.72256,-61.54981
"Judique Shoals, N.S.",2018,14,B,13,45.83786,-61.55272
"Mabou Harbour, N.S.",2018,13,B,12,46.09141,-61.49111
"Malpeque, P.E.I.",2018,17,B,16,46.58339,-63.61881
"Malpeque, P.E.I.",2018,17,S,2,46.58339,-63.61881
"Margaree, N.S.",2018,18,B,17,46.4558,-61.1228
"Miminegash, P.E.I.",2018,10,B,9,46.90083,-64.23889
"Miscou, N.B.",2018,15,B,14,48.03061,-64.54602
"Nine Mile Creek, P.E.I.",2018,8,B,8,46.10353,-63.22673
"North Cape, P.E.I.",2018,18,B,17,47.08333,-64.00083
"North Tracadie, N.B.",2018,8,B,7,47.50333,-64.84833
"North Tracadie, P.E.I.",2018,12,B,11,46.43422,-63.03378
"Pleasant Bay, N.S.",2018,27,S,2,46.84169,-60.80489
"Pleasant Bay, N.S.",2018,27,B,26,46.84169,-60.80489
"Pointe Sapin, N.B.",2018,10,B,9,46.97333,-64.74389
"Port Hood, N.S.",2018,20,B,19,45.975,-61.54611111
"Prim Reef, P.E.I.",2018,14,B,13,46.0445,-63.11324
"Pugwash, N.S.",2018,13,B,12,45.9192,-63.595
"Richibucto, N.B.",2018,12,B,10,46.72506,-64.74103
"River John, N.S.",2018,20,B,19,45.8686,-63.0914
"Rustico, P.E.I.",2018,11,B,10,46.465,-63.275
"Shediac, N.B.",2018,6,B,5,46.28167,-64.50153
"Shippagan, N.B.",2018,18,S,2,47.88728,-64.76322
"Shippagan, N.B.",2018,18,B,17,47.88728,-64.76322
"Skinners Pond, P.E.I.",2018,7,B,7,46.94236,-64.1868
"Souris, P.E.I.",2018,21,B,20,46.32947,-62.25658
"St Peters, P.E.I.",2018,6,B,5,46.4525,-62.73944444
Strait Crossing 2,2018,20,B,19,46.15,-63.65028
Strait Crossing 1,2018,15,B,14,46.28342,-63.87103
"Tabusintac, N.B.",2018,6,B,5,47.28944444,-64.92027778
"Victoria, P.E.I.",2018,7,B,6,46.17644,-63.46686
"Wallace 1, N.S.",2018,15,B,14,45.8339,-63.2906
"Wallace 2, N.S.",2018,9,B,9,45.88166667,-63.44416667
"West Point, P.E.I.",2018,24,B,23,46.66833,-64.50028
"Alberton, P.E.I.",2019,9,B,9,46.7368,-63.971
"Anse Bleue 1, N.B.",2019,25,B,12,47.85065,-65.07125
"Anse Bleue 2, N.B.",2019,25,B,18,47.85065,-65.07125
"Anse Bleue 3, N.B.",2019,25,B,25,47.85065,-65.07125
"Ballantynes, N.S.",2019,20,B,19,45.6706,-61.7878
"Murray Harbour, P.E.I.",2019,8,B,8,46.0544,-62.4553
"Cape George, N.S.",2019,17,B,16,45.87619,-61.88717
"Cape George, N.S.",2020,17,B,16,45.87619,-61.88717
"Cape Tormentine, N.B.",2019,15,B,14,46.10944444,-63.68444444
"Caribou, N.S.",2019,10,B,9,45.77464,-62.67353
"Cascumpeque, P.E.I.",2019,12,B,11,46.79563,-63.99395
"Cheticamp, N.S.",2019,18,B,17,46.6131,-61.0658
"Covehead 1, P.E.I.",2019,7,B,7,46.4408,-63.15933
"Covehead 2, P.E.I.",2019,13,B,12,46.4484,-63.1385
"East Point Reef, P.E.I.",2019,22,B,21,46.47333,-61.94889
"Egmont Bay, P.E.I.",2019,8,B,8,46.4562,-64.13182
"Escuminac, N.B.",2019,11,B,10,47.1192,-64.785
"Escuminac, N.B.",2019,11,S,2,47.1192,-64.785
"Fortune 1, P.E.I.",2019,9,B,9,46.30181,-62.33591
"Fortune 2, P.E.I.",2019,21,B,21,46.30228,-62.30926
"Indian Rocks, P.E.I.",2019,20,B,19,45.91507,-62.8199
"Jack Shoal, N.S.",2019,17,B,16,45.72256,-61.54981
"Judique Shoals, N.S.",2019,14,B,13,45.83786,-61.55272
"Le Goulet, N.B.",2019,9,B,8,47.7106,-64.6497
"Mabou Harbour, N.S.",2019,13,B,12,46.09141,-61.49111
"Malpeque, P.E.I.",2019,17,B,16,46.58339,-63.61881
"Malpeque, P.E.I.",2019,17,S,2,46.58339,-63.61881
"Margaree, N.S.",2019,18,B,17,46.4558,-61.1228
"Miscou, N.B.",2019,15,B,14,48.03061,-64.54602
"Nine Mile Creek, P.E.I.",2019,8,B,8,46.10353,-63.22673
"North Cape, P.E.I.",2019,18,B,17,47.08333,-64.00083
"North Tracadie, P.E.I.",2019,12,B,11,46.43422,-63.03378
"Pictou Island, N.S.",2019,20,B,19,45.82417,-62.61278
"Pleasant Bay, N.S.",2019,27,B,26,46.84169,-60.80489
"Pleasant Bay, N.S.",2019,27,S,2,46.84169,-60.80489
"Pointe Sapin, N.B.",2019,10,B,9,46.97333,-64.74389
"Port Hood, N.S.",2019,20,B,19,45.975,-61.54611111
"Prim Reef, P.E.I.",2019,14,B,13,46.0445,-63.11324
"Pugwash, N.S.",2019,13,B,12,45.9192,-63.595
"Richibucto, N.B.",2019,12,B,10,46.72506,-64.74103
"River John, N.S.",2019,20,B,19,45.8686,-63.0914
"Rustico, P.E.I.",2019,11,B,10,46.465,-63.275
"Shediac, N.B.",2019,6,B,5,46.28167,-64.50153
"Shippagan, N.B.",2019,18,B,17,47.88728,-64.76322
"Shippagan, N.B.",2019,18,S,2,47.88728,-64.76322
"Skinners Pond, P.E.I.",2019,7,B,7,46.94236,-64.1868
"Souris, P.E.I.",2019,21,B,20,46.32947,-62.25658
Strait Crossing 2,2019,20,B,19,46.15,-63.65028
Strait Crossing 1,2019,15,B,14,46.28342,-63.87103
"Tabusintac, N.B.",2019,6,B,5,47.28944444,-64.92027778
"Victoria, P.E.I.",2019,7,B,6,46.17644,-63.46686
"Wallace 1, N.S.",2019,15,B,14,45.8339,-63.2906
"West Point, P.E.I.",2019,24,B,23,46.66833,-64.50028
"Bayfield, N.S.",2019,20,B,20,45.67055556,-61.78777778
"Souris, P.E.I.",2021,21,B,20,46.32947,-62.25658
"Bayfield, N.S.",2020,20,B,20,45.67055556,-61.78777778
"Murray Harbour, P.E.I.",2020,8,B,8,46.0544,-62.4553
"Cape Tormentine, N.B.",2020,15,B,14,46.10944444,-63.68444444
"Caribou, N.S.",2020,10,B,9,45.77464,-62.67353
"Alberton, P.E.I.",2020,9,B,9,46.7368,-63.971
"Cascumpeque, P.E.I.",2020,12,B,11,46.79563,-63.99395
"Covehead 1, P.E.I.",2020,7,B,7,46.4408,-63.15933
"Covehead 2, P.E.I.",2020,13,B,12,46.4484,-63.1385
"East Point reef, P.E.I.",2020,22,B,21,46.47333,-61.94889
"Egmont Bay, P.E.I.",2020,8,B,8,46.4562,-64.13182
"Escuminac, N.B.",2020,11,S,2,47.0709,-64.4706
"Escuminac, N.B.",2020,11,B,10,47.0709,-64.4706
Pleasant Bay,2019,20,B,19,46.92583333,-60.70555556
"Pleasant Bay 1, N.S.",2020,20,B,19,46.92583333,-60.70555556
"Pleasant Bay 1, N.S.",2021,20,B,19,46.92583333,-60.70555556
NA,NA,NA,NA,NA,NA,NA
x,NA,NA,x,NA,NA,NA
"Fortune 2, P.E.I.",2020,21,B,21,46.30228,-62.30926
"Fortune 1, P.E.I.",2020,9,B,9,46.30181,-62.33591
"Indian Rocks, P.E.I.",2020,20,B,19,45.91507,-62.8199
"Jack Shoal, N.S.",2020,17,B,16,45.72256,-61.54981
"Judique Shoals, N.S.",2020,14,B,13,45.83777778,-61.55277778
"Mabou Harbour, N.S.",2020,13,B,12,46.09141,-61.49111
"Malpeque, P.E.I.",2020,17,B,16,46.58339,-63.61881
"Malpeque, P.E.I.",2020,17,S,2,46.58339,-63.61881
"Miminegash, P.E.I.",2020,10,B,9,46.90055556,-64.23888889
"Miscou, N.B.",2020,15,B,14,48.03061,-64.54602
"Nine Mile Creek, P.E.I.",2020,7,B,7,46.10353,-63.22673
"North Cape, P.E.I.",2020,18,B,17,47.08333,-64.00083
"North Tracadie, P.E.I.",2020,12,B,11,46.43422,-63.03378
"Pleasant Bay 2, N.S.",2020,27,S,2,46.84169,-60.80489
"Pleasant Bay 2, N.S.",2020,27,B,26,46.84169,-60.80489
"Pointe Sapin, N.B.",2020,10,B,9,46.97333,-64.74389
"Richibucto, N.B.",2020,12,B,10,46.72506,-64.74103
"Rustico, P.E.I.",2020,11,B,10,46.465,-63.275
"Shediac, N.B.",2020,6,B,5,46.28167,-64.50153
"Shippagan, N.B.",2020,18,B,2,47.88728,-64.76322
"Shippagan, N.B.",2020,18,B,17,47.88728,-64.76322
"Skinners Pond, P.E.I.",2020,7,B,7,46.94236,-64.1868
"St Peters, P.E.I.",2020,6,B,5,46.4525,-62.73944444
Strait Crossing 2,2020,20,B,19,46.15,-63.65028
Strait Crossing 1,2020,15,B,14,46.28342,-63.87103
"Tabusintac, N.B.",2020,6,B,5,47.28944444,-64.92027778
"Victoria, P.E.I.",2020,7,B,6,46.17644,-63.46686
"West Point, P.E.I.",2020,24,B,23,46.66833,-64.50028
"Alberton, P.E.I.",2021,9,B,9,46.7368,-63.971
"Cheticamp, N.S.",2021,18,B,17,46.6131,-61.0658
"Arisaig, N.S.",2021,12,B,12,45.7581,-62.1992
"Aulds Cove, N.S.",2021,20,B,19,45.70361111,-61.4775
"Ballantynes, N.S.",2021,20,B,19,45.8961,-61.9275
"Bayfield, N.S.",2021,20,B,20,45.67055556,-61.78777778
"Murray Harbour, P.E.I.",2021,8,B,8,46.0544,-62.4553
"Cascumpeque, P.E.I.",2021,12,B,11,46.79563,-63.99395
"Covehead 1, P.E.I.",2021,7,B,7,46.4408,-63.15933
"Egmont Bay, P.E.I.",2021,8,B,8,46.4562,-64.13182
"Escuminac, N.B.",2021,11,B,10,47.0709,-64.4706
"Escuminac, N.B.",2021,11,S,2,47.0709,-64.4706
"Fortune 2, P.E.I.",2021,21,B,21,46.30228,-62.30926
"Jack Shoal, N.S.",2021,17,B,16,45.72256,-61.54981
"Anse Bleue, NB",2019,24,B,12,47.85065,-65.07125
"Anse Bleue 1, N.B.",2020,24,B,12,47.85065,-65.07125
"Anse Bleue 1, N.B.",2021,24,B,12,47.85065,-65.07125
"Anse Bleue, NB",2019,24,B,18,47.85065,-65.07125
"Anse Bleue 2, N.B.",2020,24,B,18,47.85065,-65.07125
"Anse Bleue 2, N.B.",2021,24,B,18,47.85065,-65.07125
"Anse Bleue, NB",2019,24,B,24,47.85065,-65.07125
"Anse Bleue 3, N.B.",2020,24,B,24,47.85065,-65.07125
"Anse Bleue 3, N.B.",2021,24,B,24,47.85065,-65.07125
"Malpeque, P.E.I.",2021,17,B,16,46.58339,-63.61881
"Malpeque, P.E.I.",2021,17,S,2,46.58339,-63.61881
"Margaree, N.S.",2021,18,B,17,46.4558,-61.1228
"Miscou, N.B.",2021,15,B,14,48.03061,-64.54602
"Nine Mile Creek, P.E.I.",2021,7,B,7,46.10353,-63.22673
"Pleasant Bay 2, N.S.",2021,27,B,26,46.84169,-60.80489
"Pleasant Bay 2, N.S.",2021,27,S,2,46.84169,-60.80489
"Pointe Sapin, N.B.",2021,10,B,9,46.97333,-64.74389
"Port Hood, N.S.",2021,20,B,19,45.975,-61.54611111
"Prim Reef, P.E.I.",2020,14,B,13,46.0445,-63.11324
"River John, N.S.",2021,20,B,19,45.8686,-63.0914
"Rustico, P.E.I.",2021,11,B,10,46.465,-63.275
"Shediac, N.B.",2021,6,B,5,46.28167,-64.50153
"Shippagan, N.B.",2021,18,B,17,47.88728,-64.76322
"Shippagan, N.B.",2021,18,B,2,47.88728,-64.76322
"Skinners Pond, P.E.I.",2021,7,B,7,46.94236,-64.1868
Strait Crossing 1,2021,15,B,14,46.28342,-63.87103
Strait Crossing 2,2021,20,B,19,46.15,-63.65028
"Tabusintac, N.B.",2021,6,B,5,47.28944444,-64.92027778
"Victoria, P.E.I.",2021,7,B,6,46.17644,-63.46686
"Wallace 1, N.S.",2021,15,B,14,45.8339,-63.2906
"Wallace 2, N.S.",2021,9,B,9,45.87555556,-63.43305556
"West Point, P.E.I.",2021,24,B,23,46.66833,-64.50028
"Prim Reef, P.E.I.",2021,14,B,13,46.0445,-63.11324
"Covehead 2, P.E.I.",2021,13,B,12,46.4484,-63.1385
